Temperature,Volume,Gibbs,Helmholtz,Entropy,Enthalpy,Electronic_E
0.0,187.45622236185488,-536132.4431484946,117.05951359094396,0.0,117.05951359094405,-536249.5026620856
5.0,187.4569908624088,-536132.443461725,117.05912784131888,0.34111467684051533,117.0608340107797,-536249.5025895663
10.0,187.46713437174904,-536132.45180759,117.04982370706429,3.551385544161974,117.0853387439056,-536249.501631297
15.0,187.49333612540636,-536132.4831018203,117.0160448549145,9.293100588314815,117.15544313972899,-536249.4991466752
20.0,187.54047828266135,-536132.5477499646,116.94689262592019,16.848975932714893,117.28387452883342,-536249.4946425905
25.0,187.6125058779811,-536132.6541523575,116.83352493993175,25.93381544975773,117.4818733399546,-536249.4876772974
30.0,187.7098194318755,-536132.8089002972,116.66920660447818,36.10534111381503,117.75237050996377,-536249.4781069016
35.0,187.82967729343554,-536133.0162217838,116.44984633184168,46.889800841486476,118.09099372630745,-536249.4660681157
40.0,187.96786678864623,-536133.278173067,116.17367293427887,57.903069268645595,118.48980080154989,-536249.4518460013
45.0,188.11991481312478,-536133.5951796931,115.84059763537073,68.87601548183329,118.94002420086099,-536249.4357773284
50.0,188.28193375304602,-536133.9665755266,115.45159862479477,79.63671704791204,119.43344116014599,-536249.4181741514
55.0,188.45056757880968,-536134.3910211581,115.00830876118064,90.08352163097425,119.9629099899949,-536249.3993299193
60.0,188.62322069768408,-536134.8667958024,114.51269361833442,100.16231072666551,120.52244069888256,-536249.3794894207
65.0,188.79750307025185,-536135.3919899751,113.96691538428954,109.84924581813038,121.10712573775514,-536249.3589053594
70.0,188.97212504246085,-536135.9646284071,113.3730973489125,119.140423104619,121.71293731970643,-536249.3377257561
75.0,189.1455845108106,-536136.582746345,112.73339544464227,128.04308050287636,122.33663785223841,-536249.3161417897
80.0,189.3170182820561,-536137.2444354948,112.049845237162,136.57176086252866,122.97559852941055,-536249.2942807319
85.0,189.48551958351544,-536137.9478704465,111.3244152046272,144.7445445813628,123.62771500579547,-536249.2722856511
90.0,189.65095107875285,-536138.6913226326,110.55888312847031,152.58202940217188,124.29128040927718,-536249.250205761
95.0,189.81261808322446,-536139.4731663561,109.75500127879809,160.10466251867047,124.96496000781009,-536249.2281676349
100.0,189.9704472468296,-536140.291879803,108.91433736784404,167.3332845130144,125.64768279518069,-536249.2062171708
105.0,190.12427501516132,-536141.1460429126,108.03836973420385,174.28788577580053,126.33861593276578,-536249.1844126468
110.0,190.27382007046117,-536142.0343333237,107.12849652348547,180.9873135036787,127.03712044499589,-536249.1628298472
115.0,190.41924248159168,-536142.9555212002,106.1859594246244,187.4497192596573,127.74269784667115,-536249.1414806248
120.0,190.56048171415136,-536143.9084634571,105.21194358987736,193.6917862478963,128.45497994353383,-536249.120407047
125.0,190.6974930932113,-536144.8920977489,104.20755023277673,199.72897507056314,129.1736954414046,-536249.0996479817
130.0,190.83057807592704,-536145.9054364489,103.1737513252404,205.57588051183666,129.8986404612019,-536249.0791877741
135.0,190.9594902902234,-536146.9475607814,102.11153211990796,211.2453732908939,130.62968354982786,-536249.0590929013
140.0,191.0845425852981,-536148.0176152035,101.0217266143722,216.7497805047342,131.36672330813548,-536249.0393418178
145.0,191.2057677009193,-536149.1148021014,99.90515230037204,222.10011220334718,132.10969740040275,-536249.0199544018
150.0,191.32334905530698,-536150.2383768358,98.76254788555633,227.30656385358816,132.8585627208899,-536249.0009247214
155.0,191.4372439154508,-536151.3876431524,97.59463859431577,232.3782308745399,133.61329608174114,-536248.9822817467
160.0,191.5477889024358,-536152.5619489541,96.40204179733826,237.3237542332563,134.37387563891596,-536248.9639907514
165.0,191.65478757056042,-536153.7606824369,95.18542098754767,242.15054161477565,135.14029499638423,-536248.9461034244
170.0,191.75859714242682,-536154.9832685599,93.94530950753301,246.86583835419606,135.91253816422724,-536248.9285780675
175.0,191.85935123991118,-536156.229165845,92.6822423958871,251.47607203275857,136.6905926475068,-536248.9114082409
180.0,191.95695826762574,-536157.4978634747,91.39676147374826,255.9869248203213,137.4744471104297,-536248.8946249484
185.0,192.05162751670673,-536158.7888786686,90.08932806887321,260.4038489329705,138.26408082712607,-536248.8782067375
190.0,192.1436827093432,-536160.1017543144,88.76035597248142,264.73193994077155,139.05946681743688,-536248.8621102868
